Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ribosome	14/158	1.359819616742052E-15	1.6453817362578828E-13	0	0	30.04470486111111	1028.4730412319368	RPL4;RPL21;RPS7;RPL10;RPL31;RPLP1;RPL36A;RPL13A;RPS3A;RPS25;RPS16;RPS20;RPS2;RPL17
Coronavirus disease	14/232	2.859135635320742E-13	1.729777059369049E-11	0	0	19.771788990825687	571.0702987043588	RPL4;RPL21;RPS7;RPL10;RPL31;RPLP1;RPL36A;RPL13A;RPS3A;RPS25;RPS16;RPS20;RPS2;RPL17
Oxytocin signaling pathway	5/154	3.405736598181451E-4	0.01373647094599852	0	0	9.089362875792958	72.57746390806871	CACNB3;CAMK2A;ADCY1;EEF2;CALM1
Glutamatergic synapse	4/114	0.0010322662312371275	0.03122605349492311	0	0	9.735626535626535	66.94215510267831	HOMER2;DLG4;ADCY1;SHANK1
Long-term potentiation	3/67	0.002284678941846397	0.04875091024939569	0	0	12.41125	75.4793863747741	CAMK2A;ADCY1;CALM1
Amphetamine addiction	3/69	0.002484869281897541	0.04875091024939569	0	0	12.033939393939393	72.17397539472478	ARC;CAMK2A;CALM1
Adrenergic signaling in cardiomyocytes	4/150	0.002820300592940247	0.04875091024939569	0	0	7.321732691595705	42.985246902917936	CACNB3;CAMK2A;ADCY1;CALM1
Gastric acid secretion	3/76	0.0032696793146139154	0.04945389963353547	0	0	10.876164383561644	62.24497796581379	CAMK2A;ADCY1;CALM1
GnRH signaling pathway	3/93	0.005756719735830723	0.06709759844155211	0	0	8.814222222222222	45.45835913036051	CAMK2A;ADCY1;CALM1
Circadian entrainment	3/97	0.006468533144283884	0.06709759844155211	0	0	8.437446808510638	42.531531760157	CAMK2A;ADCY1;CALM1
Aldosterone synthesis and secretion	3/98	0.006654307283459712	0.06709759844155211	0	0	8.348210526315789	41.84532947969452	CAMK2A;ADCY1;CALM1
Inflammatory mediator regulation of TRP channels	3/98	0.006654307283459712	0.06709759844155211	0	0	8.348210526315789	41.84532947969452	CAMK2A;ADCY1;CALM1
Melanogenesis	3/101	0.007230615844791768	0.06730034747844646	0	0	8.09142857142857	39.88613937926768	CAMK2A;ADCY1;CALM1
cAMP signaling pathway	4/216	0.010128175696676494	0.08753637566413255	0	0	5.025497195308516	23.079264518888394	CAMK2A;ADCY1;CALM1;VIP
Oocyte meiosis	3/129	0.014033576061464338	0.11282948202022523	0	0	6.2844444444444445	26.81134123656049	CAMK2A;ADCY1;CALM1
Dopaminergic synapse	3/132	0.014919600928294245	0.11282948202022523	0	0	6.137364341085271	25.80810455737319	GSK3A;CAMK2A;CALM1
Glycosaminoglycan biosynthesis	2/53	0.018197156080385805	0.1295209344545107	0	0	10.253353973168215	41.079959713205824	B4GALT2;B3GAT3
Glioma	2/75	0.034690300123830134	0.23319590638796925	0	0	7.155371304974766	24.05131498151602	CAMK2A;CALM1
Insulin secretion	2/86	0.04446175843565455	0.2831511984586421	0	0	6.214912280701754	19.34780389175837	CAMK2A;ADCY1
Rap1 signaling pathway	3/210	0.04892796250405812	0.2947056633652692	0	0	3.809661835748792	11.495297302465927	SIPA1L1;ADCY1;CALM1
Salivary secretion	2/93	0.05114726388984011	0.2947056633652692	0	0	5.734817813765182	17.04987876714737	ADCY1;CALM1
Dilated cardiomyopathy	2/96	0.05411648278521077	0.29764065531865924	0	0	5.550951847704368	16.189997566417798	CACNB3;ADCY1
Glucagon signaling pathway	2/107	0.06550199089733516	0.3400422708810206	0	0	4.966666666666667	13.537517882404368	CAMK2A;CALM1
Calcium signaling pathway	3/240	0.06744640083590492	0.3400422708810206	0	0	3.322362869198312	8.958492525943758	CAMK2A;ADCY1;CALM1
Cholinergic synapse	2/113	0.0720208651720944	0.34858098743293686	0	0	4.696775723091513	12.356274791307863	CAMK2A;ADCY1
Endocytosis	3/252	0.0756312905511046	0.3519763906416791	0	0	3.1603212851405624	8.159586706732805	PSD;PSD3;RAB11FIP4
Neurotrophin signaling pathway	2/119	0.07874080782214149	0.3528754720918193	0	0	4.454565901934323	11.321696784747736	CAMK2A;CALM1
Mannose type O-glycan biosynthesis	1/23	0.08599990704252439	0.35882719834984317	0	0	11.747343565525384	28.821039177236628	B4GALT2
Renin-angiotensin system	1/23	0.08599990704252439	0.35882719834984317	0	0	11.747343565525384	28.821039177236628	PRCP
Vascular smooth muscle contraction	2/133	0.09513300500121555	0.3715052793338909	0	0	3.9756930494174365	9.35273565715906	ADCY1;CALM1
Apelin signaling pathway	2/137	0.09998389586964657	0.3715052793338909	0	0	3.8571150097465887	8.881956728256293	ADCY1;CALM1
Estrogen signaling pathway	2/137	0.09998389586964657	0.3715052793338909	0	0	3.8571150097465887	8.881956728256293	ADCY1;CALM1
Phototransduction	1/28	0.10370636075084565	0.3715052793338909	0	0	9.56950456950457	21.68633304983503	CALM1
Spinocerebellar ataxia	2/143	0.10738720647416483	0.3715052793338909	0	0	3.6918626353116837	8.237705612535873	SPTBN2;PUM2
MAPK signaling pathway	3/294	0.10746020476600149	0.3715052793338909	0	0	2.698419243986254	6.0191875688726375	CACNB3;TAOK2;DUSP8
Galactose metabolism	1/31	0.11416724371228316	0.374766512225884	0	0	8.611255411255412	18.687206622741385	B4GALT2
Pathways of neurodegeneration	4/475	0.11459802439965047	0.374766512225884	0	0	2.2322832386526654	4.835850348419879	DLG4;CAMK2A;CALM1;SPTBN2
Cushing syndrome	2/155	0.1226118837347784	0.3904220508396891	0	0	3.4002407980736153	7.136191889826153	CAMK2A;ADCY1
Necroptosis	2/159	0.12779954555989684	0.3965062823781415	0	0	3.3129399932953403	6.81568591509431	CAMK2A;RBCK1
Hippo signaling pathway	2/163	0.13303875484525843	0.4024422334069067	0	0	3.2299771167048057	6.515234656723243	DLG2;DLG4
cGMP-PKG signaling pathway	2/167	0.13832672072228863	0.4075894290918063	0	0	3.15103668261563	6.23318177937873	ADCY1;CALM1
Various types of N-glycan biosynthesis	1/39	0.14147732249467657	0.4075894290918063	0	0	6.795625427204374	13.289632726774588	B4GALT2
Tuberculosis	2/180	0.1558169539853708	0.42091995810139016	0	0	2.918982850384388	5.426603175352563	CAMK2A;CALM1
Glycosphingolipid biosynthesis	1/45	0.16141283090868078	0.42091995810139016	0	0	5.867178276269185	10.700501237044435	B4GALT2
RNA transport	2/186	0.16402886388290935	0.42091995810139016	0	0	2.8229405034324944	5.1030658718408874	EEF1A1;EIF3F
Proteasome	1/46	0.16469069128213965	0.42091995810139016	0	0	5.7365079365079366	10.346859986896192	PSME1
Other types of O-glycan biosynthesis	1/47	0.16795590284320164	0.42091995810139016	0	0	5.611518915866742	10.011251741635744	B4GALT2
Chemokine signaling pathway	2/192	0.17231743069268715	0.42091995810139016	0	0	2.7329639889196677	4.80569027230827	GSK3A;ADCY1
Cocaine addiction	1/49	0.17444857199702626	0.42091995810139016	0	0	5.3771645021645025	9.389202964039915	DLG4
Ether lipid metabolism	1/49	0.17444857199702626	0.42091995810139016	0	0	5.3771645021645025	9.389202964039915	PLD3
N-Glycan biosynthesis	1/50	0.17767612543797884	0.42091995810139016	0	0	5.267161410018553	9.10056411919043	B4GALT2
Ovarian steroidogenesis	1/51	0.18089122166340732	0.42091995810139016	0	0	5.161558441558442	8.825539290482803	ADCY1
Regulation of lipolysis in adipocytes	1/55	0.1936279810347673	0.4398302545225575	0	0	4.778258778258778	7.845024506914563	ADCY1
Hedgehog signaling pathway	1/56	0.19678149956109603	0.4398302545225575	0	0	4.691145218417946	7.626213258084189	CSNK1G2
Legionellosis	1/57	0.19992284296479884	0.4398302545225575	0	0	4.607142857142857	7.416688092632905	EEF1A1
Lipid and atherosclerosis	2/215	0.20466349157396446	0.4422193300080303	0	0	2.4350135903138126	3.862876712325204	CAMK2A;CALM1
